"Honorific Title","First Name","Last Name","Constituency","Province / Territory","Political Affiliation","Start Date","End Date","Zodiac","Source"
,Robert,Morrissey,Egmont,Prince Edward Island,Liberal,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Glen,Motz,Medicine Hat—Cardston—Warner,Alberta,Conservative,2021-09-20 12:00:00 AM,,"",""
Hon.,Joyce,Murray,Vancouver Quadra,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
,Dan,Muys,Flamborough—Glanbrook,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Capricorn","Wikipedia"
,Yasir,Naqvi,Ottawa Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,John,Nater,Perth—Wellington,Ontario,Conservative,2021-09-20 12:00:00 AM,,"",""
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Taleeb,Noormohamed,Vancouver Granville,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"",""
,Christine,Normandin,Saint-Jean,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Patrick,O'Hara,Châteauguay—Lacolle,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Robert,Oliphant,Don Valley West,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Jeremy,Patzer,Cypress Hills—Grasslands,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Richard,Perkins,South Shore—St. Margarets,Nova Scotia,Conservative,2021-09-20 12:00:00 AM,,"",""
,Yves,Perron,Berthier—Maskinongé,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,2021-09-20 12:00:00 AM,,"",""
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Leo","Wikipedia"
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
,Marcus,Powlowski,Thunder Bay—Rainy River,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"Libra","Wikipedia"
,Alain,Rayes,Richmond—Arthabaska,Quebec,Conservative,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Brad,Redekopp,Saskatoon West,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Scott,Reid,Lanark—Frontenac—Kingston,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
Hon.,Michelle,Rempel Garner,Calgary Nose Hill,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Blake,Richards,Banff—Airdrie,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Anna,Roberts,King—Vaughan,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Yves,Robillard,Marc-Aurèle-Fortin,Quebec,Liberal,2021-09-20 12:00:00 AM,,"",""
Hon.,Pablo,Rodriguez,Honoré-Mercier,Quebec,Liberal,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
,Churence,Rogers,Bonavista—Burin—Trinity,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
,Sherry,Romanado,Longueuil—Charles-LeMoyne,Quebec,Liberal,2021-09-20 12:00:00 AM,,"Aries","Wikipedia"
,Lianne,Rood,Lambton—Kent—Middlesex,Ontario,Conservative,2021-09-20 12:00:00 AM,,"",""
Hon.,Anthony,Rota,Nipissing—Timiskaming,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Alex,Ruff,Bruce—Grey—Owen Sound,Ontario,Conservative,2021-09-20 12:00:00 AM,,"",""
,Ruby,Sahota,Brampton North,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
Hon.,Harjit S.,Sajjan,Vancouver South,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"Virgo","Wikipedia"
,Ya'ara,Saks,York Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Pisces","Wikipedia"
,Darrell,Samson,Sackville—Preston—Chezzetcook,Nova Scotia,Liberal,2021-09-20 12:00:00 AM,,"Libra","Wikipedia"
,Randeep,Sarai,Surrey Centre,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"",""
,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe—Bagot,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Francis,Scarpaleggia,Lac-Saint-Louis,Quebec,Liberal,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
Hon.,Andrew,Scheer,Regina—Qu'Appelle,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Peter,Schiefke,Vaudreuil—Soulanges,Quebec,Liberal,2021-09-20 12:00:00 AM,,"Aries","Wikipedia"
,Jamie,Schmale,Haliburton—Kawartha Lakes—Brock,Ontario,Conservative,2021-09-20 12:00:00 AM,,"",""
,Kyle,Seeback,Dufferin—Caledon,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Leo","Wikipedia"
,Marc,Serré,Nickel Belt,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
Hon.,Judy A.,Sgro,Humber River—Black Creek,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Terry,Sheehan,Sault Ste. Marie,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Martin,Shields,Bow River,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Doug,Shipley,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
,Maninder,Sidhu,Brampton East,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Sonia,Sidhu,Brampton South,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Mario,Simard,Jonquière,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Nathalie,Sinclair-Desgagné,Terrebonne,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Jagmeet,Singh,Burnaby South,British Columbia,NDP,2021-09-20 12:00:00 AM,,"Capricorn","Wikipedia"
,Clifford,Small,Coast of Bays—Central—Notre Dame,Newfoundland and Labrador,Conservative,2021-09-20 12:00:00 AM,,"",""
,Francesco,Sorbara,Vaughan—Woodbridge,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Pisces","Wikipedia"
,Gerald,Soroka,Yellowhead,Alberta,Conservative,2021-09-20 12:00:00 AM,,"",""
,Sven,Spengemann,Mississauga—Lakeshore,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Libra","Wikipedia"
,Warren,Steinley,Regina—Lewvan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Gabriel,Ste-Marie,Joliette,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Jake,Stewart,Miramichi—Grand Lake,New Brunswick,Conservative,2021-09-20 12:00:00 AM,,"Pisces","Wikipedia"
,Pascale,St-Onge,Brome—Missisquoi,Quebec,Liberal,2021-09-20 12:00:00 AM,,"",""
,Mark,Strahl,Chilliwack—Hope,British Columbia,Conservative,2021-09-20 12:00:00 AM,,"Aries","Wikipedia"
,Shannon,Stubbs,Lakeland,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Jenna,Sudds,Kanata—Carleton,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
Hon.,Filomena,Tassi,Hamilton West—Ancaster—Dundas,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Leah,Taylor Roy,Aurora—Oak Ridges—Richmond Hill,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Luc,Thériault,Montcalm,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Alain,Therrien,La Prairie,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
,Joanne,Thompson,St. John's East,Newfoundland and Labrador,Liberal,2021-09-20 12:00:00 AM,,"",""
,Corey,Tochor,Saskatoon—University,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Fraser,Tolmie,Moose Jaw—Lake Centre—Lanigan,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
Right Hon.,Justin,Trudeau,Papineau,Quebec,Liberal,2021-09-20 12:00:00 AM,,"Capricorn","Wikipedia"
,Denis,Trudel,Longueuil—Saint-Hubert,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
,Ryan,Turnbull,Whitby,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
Hon.,Tim,Uppal,Edmonton Mill Woods,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Rechie,Valdez,Mississauga—Streetsville,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Tony,Van Bynen,Newmarket—Aurora,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aries","Wikipedia"
,Adam,van Koeverden,Milton,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Tako,Van Popta,Langley—Aldergrove,British Columbia,Conservative,2021-09-20 12:00:00 AM,,"",""
Hon.,Dan,Vandal,Saint Boniface—Saint Vital,Manitoba,Liberal,2021-09-20 12:00:00 AM,,"Aries","Wikipedia"
,Anita,Vandenbeld,Ottawa West—Nepean,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Karen,Vecchio,Elgin—Middlesex—London,Ontario,Conservative,2021-09-20 12:00:00 AM,,"Pisces","Wikipedia"
,Gary,Vidal,Desnethé—Missinippi—Churchill River,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Dominique,Vien,Bellechasse—Les Etchemins—Lévis,Quebec,Conservative,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Arnold,Viersen,Peace River—Westlock,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
,Julie,Vignola,Beauport—Limoilou,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,René,Villemure,Trois-Rivières,Quebec,Bloc Québécois,2021-09-20 12:00:00 AM,,"",""
,Arif,Virani,Parkdale—High Park,Ontario,Liberal,2021-09-20 12:00:00 AM,,"Sagittarius","Wikipedia"
,Brad,Vis,Mission—Matsqui—Fraser Canyon,British Columbia,Conservative,2021-09-20 12:00:00 AM,,"",""
,Kevin,Vuong,Spadina—Fort York,Ontario,Independent,2021-09-20 12:00:00 AM,,"",""
,Cathay,Wagantall,Yorkton—Melville,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"Cancer","Wikipedia"
,Chris,Warkentin,Grande Prairie—Mackenzie,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Kevin,Waugh,Saskatoon—Grasswood,Saskatchewan,Conservative,2021-09-20 12:00:00 AM,,"",""
,Len,Webber,Calgary Confederation,Alberta,Conservative,2021-09-20 12:00:00 AM,,"Scorpio","Wikipedia"
,Patrick,Weiler,West Vancouver—Sunshine Coast—Sea to Sky Country,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"Taurus","Wikipedia"
Hon.,Jonathan,Wilkinson,North Vancouver,British Columbia,Liberal,2021-09-20 12:00:00 AM,,"Gemini","Wikipedia"
,Ryan,Williams,Bay of Quinte,Ontario,Conservative,2021-09-20 12:00:00 AM,,"",""
,John,Williamson,New Brunswick Southwest,New Brunswick,Conservative,2021-09-20 12:00:00 AM,,"Aquarius","Wikipedia"
,Jean,Yip,Scarborough—Agincourt,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Salma,Zahid,Scarborough Centre,Ontario,Liberal,2021-09-20 12:00:00 AM,,"",""
,Bonita,Zarrillo,Port Moody—Coquitlam,British Columbia,NDP,2021-09-20 12:00:00 AM,,"",""
,Bob,Zimmer,Prince George—Peace River—Northern Rockies,British Columbia,Conservative,2021-09-20 12:00:00 AM,,"Libra","Wikipedia"
,Sameer,Zuberi,Pierrefonds—Dollard,Quebec,Liberal,2021-09-20 12:00:00 AM,,"",""
